query,x[m],y[m],z[m],th[deg],ph[deg],query_pix,dilated_pix,lapse time[ms]
0,\workspa,e\UMap\S,N\gazebo,am\que,\query,0,0,729
DB No.,x[m],y[m],z[m],th[deg],ph[deg],A,B,Bcon,C,D,E,Econ,F,sim_index,SPV_and,SPV_in, SPV_db 
0057511,-010.000,-002.000,0000.200,0000.0,0000.0,0,0,0,0,2093,12340,7384,47007,0,0,0,0
0057512,-009.800,-002.000,0000.200,0000.0,0000.0,0,0,0,0,2136,15203,9060,44101,0,0,0,0
0057513,-009.600,-002.000,0000.200,0000.0,0000.0,0,0,0,0,1926,15859,9443,43655,0,0,0,0
0057514,-009.400,-002.000,0000.200,0000.0,0000.0,0,0,0,0,1630,14831,8382,44979,0,0,0,0
0057515,-009.200,-002.000,0000.200,0000.0,0000.0,0,0,0,0,1235,9496,5356,50709,0,0,0,0
0057516,-009.000,-002.000,0000.200,0000.0,0000.0,0,0,0,0,1187,6914,4038,53339,0,0,0,0
0057517,-008.800,-002.000,0000.200,0000.0,0000.0,0,0,0,0,1369,8649,4830,51422,0,0,0,0
0057518,-008.600,-002.000,0000.200,0000.0,0000.0,0,0,0,0,1533,13470,7378,46437,0,0,0,0
0057519,-008.400,-002.000,0000.200,0000.0,0000.0,0,0,0,0,1625,11238,5970,48577,0,0,0,0
0057520,-008.200,-002.000,0000.200,0000.0,0000.0,0,0,0,0,1641,11760,6336,48039,0,0,0,0
0057521,-008.000,-002.000,0000.200,0000.0,0000.0,0,0,0,0,1615,9089,5267,50736,0,0,0,0
0057522,-007.800,-002.000,0000.200,0000.0,0000.0,0,0,0,0,1558,7585,4924,52297,0,0,0,0
0057523,-007.600,-002.000,0000.200,0000.0,0000.0,0,0,0,0,1891,11554,7147,47995,0,0,0,0
0057524,-007.400,-002.000,0000.200,0000.0,0000.0,0,0,0,0,2266,19398,10996,39776,0,0,0,0
0057525,-007.200,-002.000,0000.200,0000.0,0000.0,0,0,0,0,1605,13881,7808,45954,0,0,0,0
0057526,-007.000,-002.000,0000.200,0000.0,0000.0,0,0,0,0,1267,8861,5162,51312,0,0,0,0
0057527,-006.800,-002.000,0000.200,0000.0,0000.0,0,0,0,0,1123,10045,5391,50272,0,0,0,0
0057528,-006.600,-002.000,0000.200,0000.0,0000.0,0,0,0,0,1378,9863,5694,50199,0,0,0,0
0057529,-006.400,-002.000,0000.200,0000.0,0000.0,0,0,0,0,1544,10749,6198,49147,0,0,0,0
0057530,-006.200,-002.000,0000.200,0000.0,0000.0,0,0,0,0,1670,11987,6880,47783,0,0,0,0
0057531,-006.000,-002.000,0000.200,0000.0,0000.0,0,0,0,0,1331,9219,5268,50890,0,0,0,0
0057532,-005.800,-002.000,0000.200,0000.0,0000.0,0,0,0,0,1439,9552,5511,50449,0,0,0,0
0057533,-005.600,-002.000,0000.200,0000.0,0000.0,0,0,0,0,1249,10394,5978,49797,0,0,0,0
0057534,-005.400,-002.000,0000.200,0000.0,0000.0,0,0,0,0,1498,11136,6427,48806,0,0,0,0
0057535,-005.200,-002.000,0000.200,0000.0,0000.0,0,0,0,0,1441,8655,5028,51344,0,0,0,0
0057536,-005.000,-002.000,0000.200,0000.0,0000.0,0,0,0,0,1441,9357,5335,50642,0,0,0,0
0057537,-004.800,-002.000,0000.200,0000.0,0000.0,0,0,0,0,1290,9975,5766,50175,0,0,0,0
