DB No.,n_d[i],d_u,d_u_d_v 
0057511,2.43866e-18,0.035976,0.066006
0057512,2.43866e-18,0.0426749,0.102687
0057513,2.43866e-18,0.0507263,0.108617
0057514,2.43866e-18,0.0447024,0.079489
0057515,2.43866e-18,0.0325137,0.0855724
0057516,2.43866e-18,0.0282392,0.0646229
0057517,2.43866e-18,0.030335,0.0707244
0057518,2.43866e-18,0.0386852,0.0967783
0057519,2.43866e-18,0.0334076,0.0721252
0057520,2.43866e-18,0.0389642,0.0550003
0057521,2.43866e-18,0.0372301,0.0404052
0057522,2.43866e-18,0.0306764,0.0249066
0057523,2.43866e-18,0.0381041,0.0175196
0057524,2.43866e-18,0.0535217,0.0224135
0057525,2.43866e-18,0.045997,0.0366853
0057526,2.43866e-18,0.0303359,0.0323432
0057527,2.43866e-18,0.0321036,0.0907743
0057528,2.43866e-18,0.0320799,0.0438821
0057529,2.43866e-18,0.0330308,0.0327286
0057530,2.43866e-18,0.0364392,0.0612749
0057531,2.43866e-18,0.0306177,0.0323798
0057532,2.43866e-18,0.03108,0.0384469
0057533,2.43866e-18,0.0337231,0.0457143
0057534,2.43866e-18,0.0341575,0.0329605
0057535,2.43866e-18,0.0287341,0.0441778
0057536,2.43866e-18,0.0302873,0.0566574
0057537,2.43866e-18,0.0322754,0.0579592
0057538,2.43866e-18,0.032345,0.151424
0057539,2.43866e-18,0.0347027,0.0906465
0057540,2.43866e-18,0.0294921,0.103126
0057541,2.43866e-18,0.0298195,0.0392474
0057542,2.43866e-18,0.0309356,0.0416546
0057543,2.43866e-18,0.0331588,0.0766282
0057544,2.43866e-18,0.0284862,0.123581
0057545,2.43866e-18,0.0296744,0.0440262
0057546,3.1613e-16,0.0310177,0.0401168
0057547,7.88042e-10,0.0320856,0.0324793
0057548,3.62592e-05,0.0332937,0.0337911
0057549,0.0305568,0.0632142,0.0329364
0057550,0.471651,0.508816,0.043828
0057551,0.133339,0.174369,0.0449456
0057552,0.000690419,0.045726,0.0363553
0057553,6.54774e-08,0.0312501,0.061818
0057554,1.13737e-13,0.0268934,0.0505668
0057555,2.44228e-18,0.0296659,0.0944584
0057556,2.43866e-18,0.0398614,0.114785
0057557,2.43866e-18,0.0380405,0.112273
0057558,2.43866e-18,0.0385048,0.0851688
0057559,2.43866e-18,0.0220472,0.132065
0057560,2.43866e-18,0.0280997,0.0657295
0057561,2.43866e-18,0.0371726,0.119043
0057562,2.43866e-18,0.0403841,0.0846158
0057563,2.43866e-18,0.0320951,0.149401
0057564,2.43866e-18,0.0255372,0.440075
0057565,2.43866e-18,0.0262295,0.190005
0057566,2.43866e-18,0.0278543,0.0619996
0057567,2.43866e-18,0.0203098,0.0568322
0057568,2.43866e-18,0.0201916,0.0613494
0057569,2.43866e-18,0.0202747,0.0555929
0057570,2.43866e-18,0.0199871,0.0477767
0057571,2.43866e-18,0.0299479,0.0473479
0057572,1.88347e-11,0.110316,0.0572121
0057573,1.88347e-11,0.155175,0.0859381
0057574,1.88347e-11,0.250729,0.175833
0057575,1.88347e-11,0.157076,0.122012
0057576,1.88347e-11,0.151784,0.113802
0057577,1.88347e-11,0.0763799,0.0933853
0057578,1.88347e-11,0.0867105,0.0810253
0057579,1.88347e-11,0.2,0.143432
0057580,1.88347e-11,0.140513,0.106237
0057581,1.88347e-11,0.201957,0.108677
0057582,1.88347e-11,0.185914,0.0937878
0057583,1.88347e-11,0.144603,0.0554917
0057584,1.88347e-11,0.108207,0.0343471
0057585,1.88347e-11,0.0989866,0.0314203
0057586,1.88347e-11,0.186667,0.0592516
0057587,1.88347e-11,0.082691,0.0262477
0057588,1.88347e-11,0.0868174,0.0546402
0057589,1.88347e-11,0.0913017,0.040812
0057590,1.88347e-11,0.14239,0.0451974
0057591,1.88347e-11,0.169278,0.0537321
0057592,1.88347e-11,0.0792741,0.0251632
0057593,1.88347e-11,0.0855626,0.0343823
0057594,1.88347e-11,0.0996712,0.0316376
0057595,1.88347e-11,0.183747,0.0583249
0057596,1.88347e-11,0.0951817,0.0302125
0057597,1.88347e-11,0.0754025,0.0560726
0057598,1.88347e-11,0.0763268,0.0354684
0057599,1.88347e-11,0.120382,0.0850345
0057600,1.88347e-11,0.147666,0.105385
0057601,1.88347e-11,0.0836812,0.212243
0057602,1.88347e-11,0.0746798,0.0433457
0057603,1.88347e-11,0.0898093,0.0285072
0057604,1.88347e-11,0.177996,0.0588133
0057605,1.88347e-11,0.111198,0.0446567
0057606,1.88347e-11,0.0724097,0.0429809
0057607,1.88351e-11,0.0723032,0.0342866
0057608,8.06876e-10,0.122139,0.0387693
0057609,3.62592e-05,0.144719,0.0459251
0057610,0.0305568,0.15347,0.039015
0057611,0.471651,0.634895,0.0551649
0057612,0.133339,0.379886,0.097775
0057613,0.000690419,0.13316,0.0420485
0057614,6.54963e-08,0.103405,0.0328229
0057615,1.89485e-11,0.0614771,0.019514
0057616,1.88347e-11,0.0789427,0.0419324
0057617,1.88347e-11,0.175731,0.155923
0057618,1.88347e-11,0.158163,0.151857
0057619,1.88347e-11,0.277239,0.205225
0057620,1.88347e-11,0.196026,0.139955
0057621,1.88347e-11,0.170501,0.178984
0057622,1.88347e-11,0.0904159,0.0922199
0057623,1.88347e-11,0.0767603,0.140884
0057624,1.88347e-11,0.17431,0.141014
0057625,1.88347e-11,0.0567273,0.460162
0057626,1.88347e-11,0.0934422,0.204729
0057627,1.88347e-11,0.150049,0.105997
0057628,1.88347e-11,0.0649073,0.0821177
0057629,1.88347e-11,0.0454301,0.103944
0057630,1.88347e-11,0.0519802,0.0629257
0057631,1.88347e-11,0.134328,0.0653197
0057632,1.88347e-11,0.137982,0.0556961
0057633,2.66434e-06,0.137608,0.0436786
0057634,2.66434e-06,0.168671,0.0535386
0057635,2.66434e-06,0.200416,0.0830404
0057636,2.66434e-06,0.183739,0.135486
0057637,2.66434e-06,0.171576,0.114063
0057638,2.66434e-06,0.145861,0.11797
0057639,2.66434e-06,0.190305,0.123448
0057640,2.66434e-06,0.180717,0.116761
0057641,2.66434e-06,0.183047,0.151793
0057642,2.66434e-06,0.139977,0.0965017
0057643,2.66434e-06,0.122306,0.0666909
0057644,2.66434e-06,0.181551,0.0677373
0057645,2.66434e-06,0.188619,0.0598704
0057646,2.66434e-06,0.173266,0.0549971
0057647,2.66434e-06,0.160684,0.0757026
0057648,2.66434e-06,0.165356,0.0664406
0057649,2.66434e-06,0.205127,0.0818914
0057650,2.66434e-06,0.188923,0.0765933
0057651,2.66434e-06,0.152227,0.0647936
0057652,2.66434e-06,0.149275,0.0639121
0057653,2.66434e-06,0.198398,0.0870814
0057654,2.66434e-06,0.183683,0.109992
0057655,2.66434e-06,0.169299,0.122868
0057656,2.66434e-06,0.149654,0.0891114
0057657,2.66434e-06,0.164332,0.109105
0057658,2.66434e-06,0.20639,0.150834
0057659,2.66434e-06,0.203137,0.131546
0057660,2.66434e-06,0.151279,0.126248
0057661,2.66434e-06,0.15109,0.176662
0057662,2.66434e-06,0.203823,0.0646966
0057663,2.66434e-06,0.168001,0.053326
0057664,2.66434e-06,0.1497,0.047517
0057665,2.66434e-06,0.152839,0.0485132
0057666,2.66434e-06,0.172762,0.0548373
0057667,2.66434e-06,0.209765,0.0727587
0057668,2.66434e-06,0.169463,0.172727
0057669,2.66513e-06,0.17513,0.11228
0057670,3.89235e-05,0.190588,0.161341
0057671,0.0305595,0.188103,0.11569
0057672,0.471654,0.650017,0.123114
0057673,0.133341,0.317498,0.154516
0057674,0.000693083,0.192349,0.120287
0057675,2.72982e-06,0.154714,0.163352
0057676,2.66434e-06,0.178694,0.165509
0057677,2.66434e-06,0.206298,0.0839819
0057678,2.66434e-06,0.180012,0.0638692
0057679,2.66434e-06,0.19075,0.166257
0057680,2.66434e-06,0.155958,0.137032
0057681,2.66434e-06,0.181637,0.149997
0057682,2.66434e-06,0.194025,0.163879
0057683,2.66434e-06,0.147646,0.113679
0057684,2.66434e-06,0.178812,0.131952
0057685,2.66434e-06,0.242613,0.167561
0057686,2.66434e-06,0.19313,0.464648
0057687,2.66434e-06,0.157757,0.246708
0057688,2.66434e-06,0.127755,0.14481
0057689,2.66434e-06,0.139973,0.0952814
0057690,2.66434e-06,0.155229,0.126998
0057691,2.66434e-06,0.100268,0.0849971
0057692,2.66434e-06,0.0864318,0.0487872
0057693,2.66434e-06,0.0790641,0.076389
0057694,0.00690307,0.159095,0.111592
0057695,0.00690307,0.168683,0.0935178
0057696,0.00690307,0.168439,0.0853167
0057697,0.00690307,0.171415,0.110567
0057698,0.00690307,0.174443,0.124415
0057699,0.00690307,0.16407,0.115925
0057700,0.00690307,0.178028,0.123238
0057701,0.00690307,0.197169,0.125832
0057702,0.00690307,0.145221,0.127864
0057703,0.00690307,0.170969,0.103587
0057704,0.00690307,0.216578,0.0974945
0057705,0.00690307,0.21226,0.109424
0057706,0.00690307,0.190706,0.124598
0057707,0.00690307,0.169159,0.0930364
0057708,0.00690307,0.176551,0.0538494
0057709,0.00690307,0.197498,0.0604984
0057710,0.00690307,0.211568,0.0931978
0057711,0.00690307,0.191082,0.149431
0057712,0.00690307,0.182143,0.166983
0057713,0.00690307,0.188442,0.0719762
0057714,0.00690307,0.186608,0.057042
0057715,0.00690307,0.198826,0.06092
0057716,0.00690307,0.168962,0.0635398
0057717,0.00690307,0.190227,0.0581908
0057718,0.00690307,0.204212,0.0904161
0057719,0.00690307,0.207519,0.0636793
0057720,0.00690307,0.201023,0.0616174
0057721,0.00690307,0.176901,0.0539608
0057722,0.00690307,0.175049,0.0533729
